date,open,close,high,low,volume
2024-01-02,27.95,26.46,27.95,25.8,106994.48
2024-01-03,26.42,24.2,26.98,23.81,110738.37
2024-01-04,23.81,23.85,24.44,23.04,71991.75
2024-01-05,24.37,25.93,27.99,24.37,157259.77
2024-01-08,25.56,24.67,27.2,24.5,117603.26
2024-01-09,25.13,24.33,25.43,23.91,87757.24
2024-01-10,24.3,23.75,25.36,23.66,68215.26
2024-01-11,23.39,25.07,25.24,23.31,80395.2
2024-01-12,24.71,24.3,26.0,24.23,80707.0
2024-01-15,24.02,23.85,24.65,23.62,51317.27
2024-01-16,24.38,25.48,27.2,23.95,119885.76
2024-01-17,25.22,23.07,25.4,23.04,89160.0
2024-01-18,22.65,24.0,24.2,22.52,73013.95
2024-01-19,24.05,23.06,24.05,23.0,45740.0
2024-01-22,22.89,21.71,23.0,21.52,47316.0
2024-01-23,21.9,21.34,21.9,21.05,31854.0
2024-01-24,21.35,21.2,21.56,20.41,33274.0
2024-01-25,21.11,21.45,21.53,20.51,30948.0
2024-01-26,21.4,20.73,21.4,20.65,24009.0
2024-01-29,20.31,19.5,20.59,19.4,23956.0
2024-01-30,19.58,18.84,19.85,18.78,22079.26
2024-01-31,19.12,17.61,19.38,17.5,32650.22
2024-02-01,17.8,16.95,17.8,16.87,23860.0
2024-02-02,17.34,16.14,17.38,15.34,27590.0
2024-02-05,16.29,13.83,16.35,13.63,35599.75
2024-02-06,11.84,13.5,14.2,11.84,41156.26
2024-02-07,13.68,11.38,13.7,11.02,59270.88
2024-02-08,11.7,12.2,12.55,10.32,68573.53
2024-02-19,12.2,13.65,14.15,11.96,68401.44
2024-02-20,13.39,13.77,13.88,12.8,47261.05
2024-02-21,13.98,16.52,16.52,13.7,67169.98
2024-02-22,15.68,17.1,18.59,15.52,101368.16
2024-02-23,17.13,17.42,18.49,16.48,89667.01
2024-02-26,17.01,16.85,17.43,16.68,64017.17
2024-02-27,16.99,17.98,18.32,16.82,85238.24
2024-02-28,17.98,19.38,21.58,17.94,124091.62
2024-02-29,18.09,20.31,20.94,17.3,107300.24
2024-03-01,19.8,20.25,21.58,19.12,100377.98
2024-03-04,19.45,19.06,20.2,18.6,66235.26
2024-03-05,18.84,17.9,19.36,17.85,60597.71
2024-03-06,18.04,18.3,18.79,17.79,49083.46
2024-03-07,18.45,17.5,18.63,17.33,46631.25
2024-03-08,17.49,17.83,18.59,17.34,46232.0
2024-03-11,17.8,21.4,21.4,17.8,94640.0
2024-03-12,23.17,25.35,25.4,22.46,155214.23
2024-03-13,22.9,23.68,24.78,22.9,107332.69
2024-03-14,23.16,26.08,27.7,23.08,143061.26
2024-03-15,25.5,25.88,27.0,24.07,116056.88
2024-03-18,25.38,25.53,26.97,25.13,92280.38
2024-03-19,24.52,23.96,24.86,23.89,87368.04
2024-03-20,24.18,24.33,24.45,23.48,68743.74
2024-03-21,24.29,23.74,24.29,23.31,52719.88
2024-03-22,24.0,23.2,24.15,22.91,47531.54
2024-03-25,22.75,23.78,24.9,22.54,69695.49
2024-03-26,24.33,26.83,27.29,23.97,122495.88
2024-03-27,25.51,22.51,26.1,22.4,91992.19
2024-03-28,22.17,22.98,23.8,22.11,60943.62
2024-03-29,22.51,23.83,25.49,22.51,72232.49
2024-04-01,23.5,23.69,25.18,23.5,68972.37
2024-04-02,23.95,24.7,25.1,23.2,88518.09
2024-04-03,24.24,22.68,24.96,22.66,74183.37
2024-04-08,22.68,21.15,23.45,21.1,57542.4
2024-04-09,21.5,22.36,23.23,21.17,52683.29
2024-04-10,22.12,21.04,22.4,20.6,49368.4
2024-04-11,20.62,20.7,21.33,20.08,31537.84
2024-04-12,21.01,20.13,21.18,19.97,30955.14
2024-04-15,19.84,18.59,20.5,18.0,47876.87
2024-04-16,18.12,15.91,18.39,15.5,50713.65
2024-04-17,16.2,17.52,17.85,16.2,48350.62
2024-04-18,17.61,17.2,17.85,16.73,40850.36
2024-04-19,17.18,16.89,17.25,16.5,30508.0
2024-04-22,16.88,16.37,17.15,16.05,24242.78
2024-04-23,16.51,17.55,18.05,16.51,45705.0
2024-04-24,17.0,17.41,17.62,16.92,37209.0
2024-04-25,17.4,18.34,19.1,16.96,57885.25
2024-04-26,18.11,18.43,18.44,17.7,45757.83
2024-04-29,18.62,18.83,19.35,18.62,48797.25
2024-04-30,18.77,18.23,18.82,18.05,32654.32
